longitude,v_obs_max,v_error,R,V,V_err
0,54.62,5,0.0,54.62,5
10,200.95,5,1.476009510168908,239.15259908672465,5
20,149.42,5,2.907171218268184,224.6644315316471,5
30,144.27,5,4.249999999999999,254.26999999999998,5
40,112.32,5,5.463694682335584,253.73327413103863,5
50,92.74,5,6.5113777665113135,261.26977748617514,5
60,70.07,5,7.361215932167728,260.5955888325765,5
70,47.4,5,7.987387276680221,254.13237657289983,5
80,42.25,5,8.370865900603768,258.90770566268577,5
90,34.01,5,8.5,254.01,5
longitude,v_obs_max,v_error,R,V,V_err
0,54.62,5,0.0,54.62,5
10,200.95,5,1.476009510168908,239.15259908672465,5
20,149.42,5,2.907171218268184,224.6644315316471,5
30,144.27,5,4.249999999999999,254.26999999999998,5
40,112.32,5,5.463694682335584,253.73327413103863,5
50,92.74,5,6.5113777665113135,261.26977748617514,5
60,70.07,5,7.361215932167728,260.5955888325765,5
70,47.4,5,7.987387276680221,254.13237657289983,5
80,42.25,5,8.370865900603768,258.90770566268577,5
90,34.01,5,8.5,254.01,5
